Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
0,0,0,-3,0,0,0,0,6,0,22,20:01,1201
1,1,2,-2,0,0,1,0,4,25,24,22:51,1371
0,0,0,-1,0,0,0,0,1,0,20,16:43,1003
0,0,0,-1,0,0,0,0,6,0,22,19:17,1157
0,0,0,-1,2,0,0,0,4,0,20,19:01,1141
0,0,0,-1,0,0,0,0,2,0,23,19:33,1173
1,0,1,-2,2,0,1,0,3,33.3,24,18:20,1100
0,0,0,-2,0,0,0,0,1,0,25,19:02,1142
1,0,1,0,0,0,1,1,5,20,22,15:30,930
0,0,0,0,0,0,0,0,3,0,24,19:09,1149
0,0,0,0,2,0,0,0,5,0,26,21:19,1279
2,1,3,0,0,0,2,0,7,28.6,22,20:27,1227
0,0,0,-1,2,0,0,0,5,0,21,20:37,1237
0,0,0,-2,0,0,0,0,3,0,22,20:40,1240
0,0,0,-2,0,0,0,0,4,0,22,19:23,1163
1,0,1,1,0,1,0,0,4,25,20,21:47,1307
0,1,1,0,2,0,0,0,4,0,22,23:14,1394
1,2,3,1,0,0,1,0,2,50,21,16:37,997
0,0,0,-2,0,0,0,0,1,0,19,14:19,859
1,1,2,1,2,0,1,1,3,33.3,20,18:29,1109
0,0,0,0,0,0,0,0,2,0,20,21:24,1284
0,0,0,0,2,0,0,0,4,0,25,23:35,1415
0,1,1,0,0,0,0,0,4,0,26,23:59,1439
0,0,0,-1,2,0,0,0,3,0,19,22:26,1346
0,0,0,0,0,0,0,0,2,0,24,22:29,1349
1,0,1,-1,0,0,1,1,5,20,18,18:29,1109
0,0,0,0,2,0,0,0,2,0,23,19:51,1191
1,0,1,-1,0,0,1,0,2,50,23,19:39,1179
0,0,0,0,2,0,0,0,7,0,23,22:16,1336
0,1,1,1,2,0,0,0,5,0,25,21:54,1314
0,1,1,-2,0,0,0,0,4,0,22,22:44,1364
1,1,2,-1,2,0,1,0,6,16.7,19,19:36,1176
1,0,1,1,0,1,0,0,5,20,22,20:29,1229
1,1,2,-1,2,0,1,0,3,33.3,20,16:53,1013
0,0,0,-2,0,0,0,0,5,0,20,19:30,1170
0,0,0,1,0,0,0,0,7,0,21,21:16,1276
0,0,0,-2,2,0,0,0,4,0,19,22:39,1359
3,1,4,2,0,2,1,1,7,42.9,20,16:40,1000
0,1,1,0,0,0,0,0,0,,19,17:52,1072
0,0,0,-1,2,0,0,0,6,0,21,21:22,1282
0,1,1,2,0,0,0,0,4,0,19,19:25,1165
0,1,1,1,4,0,0,0,4,0,23,23:19,1399
1,2,3,3,0,0,1,0,4,25,19,17:32,1052
0,0,0,-2,0,0,0,0,4,0,19,18:50,1130
0,0,0,-3,2,0,0,0,4,0,20,22:26,1346
0,0,0,-1,0,0,0,0,0,,19,22:27,1347
1,1,2,1,0,0,1,0,6,16.7,21,21:15,1275
0,0,0,-1,0,0,0,0,4,0,23,20:31,1231
1,0,1,0,2,1,0,0,5,20,22,20:11,1211
1,0,1,0,0,0,1,0,4,25,21,25:33:00,1533
1,2,3,2,0,0,1,0,5,20,19,18:23,1103
2,0,2,0,0,1,1,0,6,33.3,17,17:40,1060
1,1,2,1,0,1,0,0,5,20,23,20:03,1203
0,1,1,0,0,0,0,0,4,0,21,23:35,1415
